Years;London;Other English metropolitan areas;English non-metropolitan areas;;
2004/05 ;1 802 000 000 ;1 069 000 000 ;1 177 000 000 ;;
2005/06 ;1 881 000 000 ;1 070 000 000 ;1 184 000 000 ;;
2006/07 ;1 993 000 000 ;1 072 000 000 ;1 253 000 000 ;;
2007/08 ;2 160 000 000 ;1 098 000 000 ;1 297 000 000 ;;
2008/09 ;2 228 000 000 ;1 105 000 000 ;1 329 000 000 ;;
2009/10 ;2 238 000 000 ;1 085 000 000 ;1 314 000 000 ;;
2010/11 ;2 269 000 000 ;1 057 000 000 ;1 318 000 000 ;;
2011/12 ;2 324 000 000 ;1 028 000 000 ;1 314 000 000 ;;
2012/13;2 315 000 000 ;1 002 000 000 ;1 282 000 000 ;;
;;;;;
;;;;;
;;;;;
